PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",20 México,890 Quintana Roo,M890,C89008,2771,ITZAMNA,0,0,1.11,76.35,79,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100020133,75075217,MARLBORO VISTA SUMMER FUSIO 1 CAJETILLA,50 Nuevo León,500 Nuevo León,M508,C50805,2282,BERLIN,0,0,0.36,16.93,74,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100013110,75065515,MARLBORO RUBY 14 1CAJETILLA,50 Nuevo León,500 Nuevo León,M508,C50805,2282,BERLIN,0,0,0.18,9.24,12,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023891,7.50303E+12,MARLBORO SUMMER FUSION MNT LATA DISCO 24 MARLBORO SUMMER LATA 24 DISCO CAJETILLA PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30005,2813,REAL DEL BOSQUE,0,0,0.07,4.5,57,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023889,7.50303E+12,MARLBORO FOREST FUSION MNT LATA DISCO 24,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30005,2813,REAL DEL BOSQUE,0,0,0.04,2.25,68,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100022845,7.50303E+12,MARLBORO SUMMER LATA 23 CAJET PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30005,2813,REAL DEL BOSQUE,0,0,0.07,4.19,76,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100080946,7.50224E+12,GOLD SOFT PUROS HAB GOLD SOFT PZ,20 México,890 Quintana Roo,M890,C89006,2185,MAGADAN BOSQUE REAL,0,0,0.04,5.36,29,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019232,75074876,PALL MALL XL RED & CLICK 15S 1 CAJETILLA,20 México,890 Quintana Roo,M890,C89006,2185,MAGADAN BOSQUE REAL,0,0,0.25,12.5,39,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023714,75080105,LUCKY STRIKE LATA CLÁSICA RED 20 PZ,20 México,800 Yucatán,M800,C80001,2152,NOH-PAT,0,0,0.11,6.1,82,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023891,7.50303E+12,MARLBORO SUMMER FUSION MNT LATA DISCO 24 MARLBORO SUMMER LATA 24 DISCO CAJETILLA PZ,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11004,2465,Calixto Ayala y Laguna Leona,0,0,0.18,12.07,84,DESABASTO
